RUN_ID	MODE	STOPWORDS	MIN_FREQ	MIN_PMI	MAP	POSTINGS_COST	DICT_SIZE	TERMS_SIZE	NGRAMS	AVGDL	SUMDF
20250821_153752_phrases_english_-1_0_14	phrases	english	0	14	0.3060	1423.3451	6714	138289	451	98.77785714285714	86539
20250821_153909_phrases_english_-1_0_15	phrases	english	0	15	0.3061	1423.3894	6627	138579	258	98.985	86697
20250821_154022_phrases_english_-1_0_16	phrases	english	0	16	0.3061	1423.5487	6593	138733	129	99.095	86796
20250821_154138_phrases_english_-1_0_17	phrases	english	0	17	0.3060	1423.6018	6598	138829	44	99.16357142857143	86872
20250821_154243_phrases_english_-1_0_24	phrases	english	0	24	0.3060	1423.6195	6639	138873	0	99.195	86916
20250821_154350_phrases_english_-1_0_48	phrases	english	0	48	0.3060	1423.6195	6639	138873	0	99.195	86916
20250821_154453_phrases_english_-1_1_0	phrases	english	1	0	0.1517	594.2832	21928	102342	16988	73.10142857142857	77971
20250821_154658_phrases_english_-1_1_1	phrases	english	1	1	0.1557	616.6195	21685	102526	16746	73.23285714285714	77793
20250821_154907_phrases_english_-1_1_2	phrases	english	1	2	0.1611	645.0796	21052	103046	16109	73.60428571428571	77506
20250821_155115_phrases_english_-1_1_3	phrases	english	1	3	0.1577	682.3363	20102	104132	15148	74.38	77606
20250821_155322_phrases_english_-1_1_4	phrases	english	1	4	0.1666	728.6283	18662	106284	13680	75.91714285714286	77921
20250821_155521_phrases_english_-1_1_5	phrases	english	1	5	0.1841	833.4779	16899	109637	11883	78.31214285714286	78641
20250821_155649_phrases_english_-1_1_6	phrases	english	1	6	0.2083	975.0088	14860	114007	9804	81.43357142857143	79598
20250821_155840_phrases_english_-1_1_7	phrases	english	1	7	0.2400	1158.7345	12928	119090	7820	85.06428571428572	80545
20250821_160021_phrases_english_-1_1_8	phrases	english	1	8	0.2673	1326.5133	11156	126009	5981	90.00642857142857	82155
20250821_160158_phrases_english_-1_1_9	phrases	english	1	9	0.2849	1400.5310	9605	130791	4290	93.42214285714286	83560
20250821_160317_phrases_english_-1_1_10	phrases	english	1	10	0.2955	1424.6637	8539	133875	2996	95.625	84619
20250821_160446_phrases_english_-1_1_11	phrases	english	1	11	0.2987	1433.1504	7730	135702	2010	96.93	85361
20250821_160604_phrases_english_-1_1_12	phrases	english	1	12	0.3027	1436.3982	7220	136986	1305	97.84714285714286	85910
20250821_160725_phrases_english_-1_1_13	phrases	english	1	13	0.3064	1423.0000	6885	137827	779	98.44785714285715	86301
20250821_160840_phrases_english_-1_1_14	phrases	english	1	14	0.3060	1423.3451	6714	138289	451	98.77785714285714	86539
20250821_160959_phrases_english_-1_1_15	phrases	english	1	15	0.3061	1423.3894	6627	138579	258	98.985	86697
20250821_161116_phrases_english_-1_1_16	phrases	english	1	16	0.3061	1423.5487	6593	138733	129	99.095	86796
20250821_161232_phrases_english_-1_1_17	phrases	english	1	17	0.3060	1423.6018	6598	138829	44	99.16357142857143	86872
20250821_161344_phrases_english_-1_1_24	phrases	english	1	24	0.3060	1423.6195	6639	138873	0	99.195	86916
20250821_161455_phrases_english_-1_1_48	phrases	english	1	48	0.3060	1423.6195	6639	138873	0	99.195	86916
20250821_161601_phrases_english_-1_2_0	phrases	english	2	0	0.1657	492.4425	10740	105739	6586	75.52785714285714	79664
20250821_161715_phrases_english_-1_2_1	phrases	english	2	1	0.1664	506.5664	10666	105816	6512	75.58285714285714	79489
20250821_161827_phrases_english_-1_2_2	phrases	english	2	2	0.1683	531.4513	10427	106096	6273	75.78285714285714	79150
20250821_161940_phrases_english_-1_2_3	phrases	english	2	3	0.1699	562.3274	10036	106808	5881	76.29142857142857	79059
20250821_162106_phrases_english_-1_2_4	phrases	english	2	4	0.1800	596.5664	9433	108408	5271	77.43428571428572	79099
20250821_162231_phrases_english_-1_2_5	phrases	english	2	5	0.1986	697.8496	8641	111018	4475	79.29857142857144	79410
20250821_162353_phrases_english_-1_2_6	phrases	english	2	6	0.2172	832.0619	7697	114500	3528	81.78571428571429	79898
20250821_162515_phrases_english_-1_2_7	phrases	english	2	7	0.2534	1009.8584	6857	118615	2684	84.725	80372
20250821_162628_phrases_english_-1_2_8	phrases	english	2	8	0.2796	1172.9292	6083	124639	1908	89.02785714285714	81508
20250821_162739_phrases_english_-1_2_9	phrases	english	2	9	0.2868	1241.0708	5438	128486	1240	91.77571428571429	82376
20250821_162849_phrases_english_-1_2_10	phrases	english	2	10	0.2967	1261.7876	5049	130739	821	93.385	82993
20250821_163000_phrases_english_-1_2_11	phrases	english	2	11	0.2985	1267.8761	4732	131933	492	94.23785714285714	83368
20250821_163112_phrases_english_-1_2_12	phrases	english	2	12	0.3036	1270.0531	4564	132722	294	94.80142857142857	83603
20250821_163223_phrases_english_-1_2_13	phrases	english	2	13	0.3064	1269.8761	4440	133189	151	95.135	83759
20250821_163332_phrases_english_-1_2_14	phrases	english	2	14	0.3064	1269.9823	4390	133396	83	95.28285714285714	83832
20250821_163440_phrases_english_-1_2_15	phrases	english	2	15	0.3069	1269.9823	4356	133545	34	95.38928571428572	83881
20250821_163545_phrases_english_-1_2_16	phrases	english	2	16	0.3069	1270.0000	4347	133593	12	95.42357142857144	83902
20250821_163650_phrases_english_-1_2_17	phrases	english	2	17	0.3069	1270.0000	4349	133616	0	95.44	83913
20250821_163755_phrases_english_-1_2_24	phrases	english	2	24	0.3069	1270.0000	4349	133616	0	95.44	83913
20250821_163900_phrases_english_-1_2_48	phrases	english	2	48	0.3069	1270.0000	4349	133616	0	95.44	83913
20250821_164005_phrases_english_-1_4_0	phrases	english	4	0	0.2008	547.6460	5392	108052	2439	77.18	77560
20250821_164113_phrases_english_-1_4_1	phrases	english	4	1	0.2027	558.9912	5376	108073	2423	77.195	77458
20250821_164221_phrases_english_-1_4_2	phrases	english	4	2	0.2021	567.7522	5305	108193	2352	77.28071428571428	77205
20250821_164328_phrases_english_-1_4_3	phrases	english	4	3	0.2049	593.6903	5184	108612	2231	77.58	77121
20250821_164440_phrases_english_-1_4_4	phrases	english	4	4	0.2157	621.3009	4969	109698	2015	78.35571428571428	77107
20250821_164552_phrases_english_-1_4_5	phrases	english	4	5	0.2126	697.7788	4654	111616	1700	79.72571428571429	77189
20250821_164704_phrases_english_-1_4_6	phrases	english	4	6	0.2253	825.7345	4250	114239	1297	81.59928571428571	77437
