RUN_ID	MODE	STOPWORDS	MIN_FREQ	MIN_PMI	MAP	POSTINGS_COST	DICT_SIZE	TERMS_SIZE	NGRAMS	AVGDL	SUMDF
20250821_151309_duckdb_english_-1_0_0	duckdb	english	0	0	0.2732	1197.5536	6639	128030	0	91.45	80317
20250821_151346_phrases_english_-1_0_0	phrases	english	0	0	0.1648	620.2946	21928	102342	16988	73.10142857142857	77971
20250821_151545_phrases_english_-1_0_1	phrases	english	0	1	0.1674	649.3839	21685	102526	16746	73.23285714285714	77793
20250821_151754_phrases_english_-1_0_2	phrases	english	0	2	0.1733	677.6964	21052	103046	16109	73.60428571428571	77506
20250821_152001_phrases_english_-1_0_3	phrases	english	0	3	0.1766	721.4821	20102	104132	15148	74.38	77606
20250821_152210_phrases_english_-1_0_4	phrases	english	0	4	0.1766	807.1518	18662	106284	13680	75.91714285714286	77921
20250821_152408_phrases_english_-1_0_5	phrases	english	0	5	0.1856	937.5982	16899	109637	11883	78.31214285714286	78641
20250821_152601_phrases_english_-1_0_6	phrases	english	0	6	0.1999	1085.1339	14860	114007	9804	81.43357142857143	79598
20250821_152749_phrases_english_-1_0_7	phrases	english	0	7	0.2233	1206.5268	12928	119090	7820	85.06428571428572	80545
20250821_152913_phrases_english_-1_0_8	phrases	english	0	8	0.2447	1391.3571	11156	126009	5981	90.00642857142857	82155
20250821_153053_phrases_english_-1_0_9	phrases	english	0	9	0.2574	1475.7768	9605	130791	4290	93.42214285714286	83560
20250821_153226_phrases_english_-1_0_10	phrases	english	0	10	0.2694	1509.1786	8539	133875	2996	95.625	84619
20250821_153351_phrases_english_-1_0_11	phrases	english	0	11	0.2710	1517.1250	7730	135702	2010	96.93	85361
20250821_153515_phrases_english_-1_0_12	phrases	english	0	12	0.2752	1520.4643	7220	136986	1305	97.84714285714286	85910
20250821_153639_phrases_english_-1_0_13	phrases	english	0	13	0.2772	1521.7411	6885	137827	779	98.44785714285715	86301
20250821_153752_phrases_english_-1_0_14	phrases	english	0	14	0.2759	1522.4375	6714	138289	451	98.77785714285714	86539
20250821_153909_phrases_english_-1_0_15	phrases	english	0	15	0.2753	1522.5357	6627	138579	258	98.985	86697
20250821_154022_phrases_english_-1_0_16	phrases	english	0	16	0.2750	1522.6429	6593	138733	129	99.095	86796
20250821_154138_phrases_english_-1_0_17	phrases	english	0	17	0.2750	1522.6607	6598	138829	44	99.16357142857143	86872
