RUN_ID	MODE	STOPWORDS	MIN_FREQ	MIN_PMI	MAP	POSTINGS_COST	DICT_SIZE	TERMS_SIZE	NGRAMS	AVGDL	SUMDF
20250821_173420_phrases_english_-1_6_8	phrases	english	6	8	0.2758	1157.8800	2686	121408	336	86.72	76833
20250821_173529_phrases_english_-1_6_9	phrases	english	6	9	0.2832	1219.9778	2556	124095	206	88.63928571428572	77428
20250821_173639_phrases_english_-1_6_10	phrases	english	6	10	0.2871	1243.9600	2468	125638	116	89.74142857142857	77916
20250821_173744_phrases_english_-1_6_11	phrases	english	6	11	0.2896	1247.6356	2417	126211	64	90.15071428571429	78124
20250821_173850_phrases_english_-1_6_12	phrases	english	6	12	0.2913	1249.0978	2382	126624	27	90.44571428571429	78278
20250821_173954_phrases_english_-1_6_13	phrases	english	6	13	0.2927	1249.4178	2366	126799	9	90.57071428571429	78352
20250821_174055_phrases_english_-1_6_14	phrases	english	6	14	0.2928	1249.4178	2362	126842	4	90.60142857142857	78373
20250821_174202_phrases_english_-1_6_15	phrases	english	6	15	0.2927	1249.4267	2359	126869	0	90.62071428571429	78376
20250821_174303_phrases_english_-1_6_16	phrases	english	6	16	0.2927	1249.4267	2359	126869	0	90.62071428571429	78376
20250821_174405_phrases_english_-1_6_17	phrases	english	6	17	0.2927	1249.4267	2359	126869	0	90.62071428571429	78376
20250821_174506_phrases_english_-1_6_24	phrases	english	6	24	0.2927	1249.4267	2359	126869	0	90.62071428571429	78376
20250821_174605_phrases_english_-1_6_48	phrases	english	6	48	0.2927	1249.4267	2359	126869	0	90.62071428571429	78376
20250821_174706_phrases_english_-1_7_0	phrases	english	7	0	0.2257	620.9244	3223	109292	1073	78.06571428571428	75469
20250821_174816_phrases_english_-1_7_1	phrases	english	7	1	0.2270	631.0978	3220	109292	1070	78.06571428571428	75375
20250821_174926_phrases_english_-1_7_2	phrases	english	7	2	0.2266	641.2000	3197	109357	1047	78.11214285714286	75242
20250821_175037_phrases_english_-1_7_3	phrases	english	7	3	0.2283	659.9422	3154	109572	1004	78.26571428571428	75177
20250821_175144_phrases_english_-1_7_4	phrases	english	7	4	0.2362	695.0933	3060	110363	910	78.83071428571428	75134
20250821_175252_phrases_english_-1_7_5	phrases	english	7	5	0.2358	778.1289	2934	111748	784	79.82	75148
20250821_175400_phrases_english_-1_7_6	phrases	english	7	6	0.2455	887.6400	2748	113674	598	81.19571428571429	75290
20250821_175508_phrases_english_-1_7_7	phrases	english	7	7	0.2617	1008.7733	2577	116381	427	83.12928571428571	75452
20250821_175616_phrases_english_-1_7_8	phrases	english	7	8	0.2790	1165.6267	2410	121097	260	86.49785714285714	76252
20250821_175725_phrases_english_-1_7_9	phrases	english	7	9	0.2862	1227.8444	2302	123686	152	88.34714285714286	76823
20250821_175833_phrases_english_-1_7_10	phrases	english	7	10	0.2887	1250.7156	2234	125113	83	89.36642857142857	77280
20250821_175938_phrases_english_-1_7_11	phrases	english	7	11	0.2924	1254.1422	2197	125607	45	89.71928571428572	77469
20250821_180043_phrases_english_-1_7_12	phrases	english	7	12	0.2934	1255.3289	2171	125965	18	89.975	77607
20250821_180150_phrases_english_-1_7_13	phrases	english	7	13	0.2946	1255.6311	2159	126118	5	90.08428571428571	77672
20250821_180255_phrases_english_-1_7_14	phrases	english	7	14	0.2946	1255.6311	2157	126149	2	90.10642857142857	77690
20250821_180359_phrases_english_-1_7_15	phrases	english	7	15	0.2946	1255.6356	2155	126164	0	90.11714285714285	77691
20250821_180459_phrases_english_-1_7_16	phrases	english	7	16	0.2946	1255.6356	2155	126164	0	90.11714285714285	77691
20250821_180601_phrases_english_-1_7_17	phrases	english	7	17	0.2946	1255.6356	2155	126164	0	90.11714285714285	77691
20250821_180701_phrases_english_-1_7_24	phrases	english	7	24	0.2946	1255.6356	2155	126164	0	90.11714285714285	77691
20250821_180803_phrases_english_-1_7_48	phrases	english	7	48	0.2946	1255.6356	2155	126164	0	90.11714285714285	77691
20250821_180903_phrases_english_-1_8_0	phrases	english	8	0	0.2316	649.1689	2889	109018	915	77.87	74606
20250821_181009_phrases_english_-1_8_1	phrases	english	8	1	0.2315	657.3067	2887	109018	913	77.87	74543
20250821_181115_phrases_english_-1_8_2	phrases	english	8	2	0.2312	664.3556	2869	109078	895	77.91285714285715	74428
20250821_181221_phrases_english_-1_8_3	phrases	english	8	3	0.2325	679.1778	2836	109265	862	78.04642857142858	74374
20250821_181329_phrases_english_-1_8_4	phrases	english	8	4	0.2402	712.1956	2760	109979	786	78.55642857142857	74316
20250821_181436_phrases_english_-1_8_5	phrases	english	8	5	0.2400	794.3644	2653	111281	679	79.48642857142858	74316
20250821_181542_phrases_english_-1_8_6	phrases	english	8	6	0.2496	900.1733	2491	113095	517	80.78214285714286	74452
20250821_181647_phrases_english_-1_8_7	phrases	english	8	7	0.2618	1015.8711	2344	115664	370	82.61714285714285	74580
20250821_181753_phrases_english_-1_8_8	phrases	english	8	8	0.2772	1170.4267	2195	120281	221	85.915	75361
20250821_181857_phrases_english_-1_8_9	phrases	english	8	9	0.2840	1232.3556	2098	122819	124	87.72785714285715	75917
20250821_182001_phrases_english_-1_8_10	phrases	english	8	10	0.2875	1254.6133	2041	124179	66	88.69928571428571	76350
20250821_182107_phrases_english_-1_8_11	phrases	english	8	11	0.2902	1257.7244	2011	124630	36	89.02142857142857	76527
20250821_182212_phrases_english_-1_8_12	phrases	english	8	12	0.2914	1258.8222	1989	124960	13	89.25714285714285	76647
20250821_182315_phrases_english_-1_8_13	phrases	english	8	13	0.2933	1259.0711	1980	125093	3	89.35214285714285	76703
20250821_182419_phrases_english_-1_8_14	phrases	english	8	14	0.2933	1259.0711	1978	125124	0	89.37428571428572	76721
20250821_182522_phrases_english_-1_8_15	phrases	english	8	15	0.2933	1259.0711	1978	125124	0	89.37428571428572	76721
20250821_182622_phrases_english_-1_8_16	phrases	english	8	16	0.2933	1259.0711	1978	125124	0	89.37428571428572	76721
20250821_182724_phrases_english_-1_8_17	phrases	english	8	17	0.2933	1259.0711	1978	125124	0	89.37428571428572	76721
20250821_182826_phrases_english_-1_8_24	phrases	english	8	24	0.2933	1259.0711	1978	125124	0	89.37428571428572	76721
20250821_182929_phrases_english_-1_8_48	phrases	english	8	48	0.2933	1259.0711	1978	125124	0	89.37428571428572	76721
20250821_183032_phrases_english_-1_9_0	phrases	english	9	0	0.2319	667.5600	2586	108956	760	77.82571428571428	73877
20250821_183140_phrases_english_-1_9_1	phrases	english	9	1	0.2318	675.8000	2584	108956	758	77.82571428571428	73814
20250821_183247_phrases_english_-1_9_2	phrases	english	9	2	0.2318	682.2622	2572	109008	746	77.86285714285714	73713
20250821_183354_phrases_english_-1_9_3	phrases	english	9	3	0.2328	697.0000	2546	109180	720	77.98571428571428	73670
20250821_183457_phrases_english_-1_9_4	phrases	english	9	4	0.2416	729.7556	2482	109843	656	78.45928571428571	73615
20250821_183604_phrases_english_-1_9_5	phrases	english	9	5	0.2402	811.8044	2392	111075	566	79.33928571428571	73618
20250821_183708_phrases_english_-1_9_6	phrases	english	9	6	0.2510	913.0622	2263	112722	437	80.51571428571428	73737
20250821_183815_phrases_english_-1_9_7	phrases	english	9	7	0.2631	1024.6222	2134	115185	308	82.275	73839
20250821_183919_phrases_english_-1_9_8	phrases	english	9	8	0.2781	1178.4178	2007	119663	181	85.47357142857143	74601
20250821_184024_phrases_english_-1_9_9	phrases	english	9	9	0.2834	1239.9556	1930	122062	104	87.18714285714286	75124
20250821_184129_phrases_english_-1_9_10	phrases	english	9	10	0.2879	1261.8933	1885	123339	58	88.09928571428571	75539
20250821_184233_phrases_english_-1_9_11	phrases	english	9	11	0.2909	1264.8578	1858	123770	31	88.40714285714286	75702
20250821_184338_phrases_english_-1_9_12	phrases	english	9	12	0.2917	1265.9867	1840	124073	12	88.62357142857142	75818
20250821_184440_phrases_english_-1_9_13	phrases	english	9	13	0.2938	1266.2267	1832	124199	3	88.71357142857143	75872
20250821_184542_phrases_english_-1_9_14	phrases	english	9	14	0.2938	1266.2267	1830	124230	0	88.73571428571428	75890
20250821_184643_phrases_english_-1_9_15	phrases	english	9	15	0.2938	1266.2267	1830	124230	0	88.73571428571428	75890
20250821_184744_phrases_english_-1_9_16	phrases	english	9	16	0.2938	1266.2267	1830	124230	0	88.73571428571428	75890
20250821_184846_phrases_english_-1_9_17	phrases	english	9	17	0.2938	1266.2267	1830	124230	0	88.73571428571428	75890
20250821_184947_phrases_english_-1_9_24	phrases	english	9	24	0.2938	1266.2267	1830	124230	0	88.73571428571428	75890
20250821_185048_phrases_english_-1_9_48	phrases	english	9	48	0.2938	1266.2267	1830	124230	0	88.73571428571428	75890
20250821_185148_phrases_english_-1_10_0	phrases	english	10	0	0.2332	672.2444	2384	108086	665	77.20428571428572	72858
20250821_185253_phrases_english_-1_10_1	phrases	english	10	1	0.2334	680.7022	2382	108086	663	77.20428571428572	72793
20250821_185400_phrases_english_-1_10_2	phrases	english	10	2	0.2335	685.4933	2375	108129	656	77.235	72741
20250821_185504_phrases_english_-1_10_3	phrases	english	10	3	0.2348	697.3644	2352	108284	633	77.34571428571428	72700
20250821_185610_phrases_english_-1_10_4	phrases	english	10	4	0.2421	729.2400	2298	108895	579	77.78214285714286	72637
20250821_185716_phrases_english_-1_10_5	phrases	english	10	5	0.2405	809.6133	2220	110076	501	78.62571428571428	72645
20250821_185821_phrases_english_-1_10_6	phrases	english	10	6	0.2524	909.0000	2108	111644	389	79.74571428571429	72756
20250821_185928_phrases_english_-1_10_7	phrases	english	10	7	0.2623	1018.0800	1992	114024	273	81.44571428571429	72840
20250821_190034_phrases_english_-1_10_8	phrases	english	10	8	0.2778	1170.2978	1878	118417	159	84.58357142857143	73574
20250821_190141_phrases_english_-1_10_9	phrases	english	10	9	0.2844	1231.8000	1810	120744	91	86.24571428571429	74083
20250821_190246_phrases_english_-1_10_10	phrases	english	10	10	0.2881	1253.2089	1770	121970	51	87.12142857142857	74476
20250821_190350_phrases_english_-1_10_11	phrases	english	10	11	0.2904	1256.1689	1744	122397	25	87.42642857142857	74639
20250821_190454_phrases_english_-1_10_12	phrases	english	10	12	0.2914	1257.3156	1726	122699	7	87.64214285714286	74751
20250821_190557_phrases_english_-1_10_13	phrases	english	10	13	0.2934	1257.5467	1721	122801	1	87.715	74797
20250821_190658_phrases_english_-1_10_14	phrases	english	10	14	0.2934	1257.5467	1720	122814	0	87.72428571428571	74805
20250821_190800_phrases_english_-1_10_15	phrases	english	10	15	0.2934	1257.5467	1720	122814	0	87.72428571428571	74805
20250821_190901_phrases_english_-1_10_16	phrases	english	10	16	0.2934	1257.5467	1720	122814	0	87.72428571428571	74805
20250821_191001_phrases_english_-1_10_17	phrases	english	10	17	0.2934	1257.5467	1720	122814	0	87.72428571428571	74805
20250821_191102_phrases_english_-1_10_24	phrases	english	10	24	0.2934	1257.5467	1720	122814	0	87.72428571428571	74805
20250821_191204_phrases_english_-1_10_48	phrases	english	10	48	0.2934	1257.5467	1720	122814	0	87.72428571428571	74805
20250821_191305_phrases_english_-1_11_0	phrases	english	11	0	0.2415	685.3067	2199	107573	569	76.83785714285715	72070
20250821_191412_phrases_english_-1_11_1	phrases	english	11	1	0.2412	695.8444	2197	107573	567	76.83785714285715	72004
20250821_191518_phrases_english_-1_11_2	phrases	english	11	2	0.2414	699.7867	2191	107616	561	76.86857142857143	71976
20250821_191623_phrases_english_-1_11_3	phrases	english	11	3	0.2423	708.1333	2173	107741	543	76.95785714285714	71932
20250821_191730_phrases_english_-1_11_4	phrases	english	11	4	0.2486	739.4311	2128	108308	498	77.36285714285714	71872
20250821_191837_phrases_english_-1_11_5	phrases	english	11	5	0.2486	818.3244	2065	109381	435	78.12928571428571	71865
20250821_191942_phrases_english_-1_11_6	phrases	english	11	6	0.2586	912.8089	1971	110817	341	79.155	71977
20250821_192050_phrases_english_-1_11_7	phrases	english	11	7	0.2684	1020.5689	1868	113100	238	80.78571428571429	72052
20250821_192157_phrases_english_-1_11_8	phrases	english	11	8	0.2800	1169.0889	1769	117377	139	83.84071428571428	72755
20250821_192305_phrases_english_-1_11_9	phrases	english	11	9	0.2862	1229.9644	1709	119653	79	85.46642857142857	73262
20250821_192411_phrases_english_-1_11_10	phrases	english	11	10	0.2900	1251.4178	1675	120836	45	86.31142857142858	73640
20250821_192514_phrases_english_-1_11_11	phrases	english	11	11	0.2926	1254.3378	1651	121253	21	86.60928571428572	73802
20250821_192619_phrases_english_-1_11_12	phrases	english	11	12	0.2935	1255.5022	1636	121524	6	86.80285714285715	73896
20250821_192722_phrases_english_-1_11_13	phrases	english	11	13	0.2954	1255.7333	1632	121616	1	86.86857142857143	73940
20250821_192826_phrases_english_-1_11_14	phrases	english	11	14	0.2954	1255.7333	1631	121629	0	86.87785714285714	73948
20250821_192926_phrases_english_-1_11_15	phrases	english	11	15	0.2954	1255.7333	1631	121629	0	86.87785714285714	73948
20250821_193028_phrases_english_-1_11_16	phrases	english	11	16	0.2954	1255.7333	1631	121629	0	86.87785714285714	73948
20250821_193130_phrases_english_-1_11_17	phrases	english	11	17	0.2954	1255.7333	1631	121629	0	86.87785714285714	73948
20250821_193231_phrases_english_-1_11_24	phrases	english	11	24	0.2954	1255.7333	1631	121629	0	86.87785714285714	73948
20250821_193332_phrases_english_-1_11_48	phrases	english	11	48	0.2954	1255.7333	1631	121629	0	86.87785714285714	73948
20250821_193434_phrases_english_-1_16_0	phrases	english	16	0	0.2509	750.6800	1636	105876	341	75.62571428571428	69335
20250821_193542_phrases_english_-1_16_1	phrases	english	16	1	0.2519	760.1022	1635	105876	340	75.62571428571428	69280
20250821_193650_phrases_english_-1_16_2	phrases	english	16	2	0.2522	764.4444	1632	105914	337	75.65285714285714	69255
20250821_193800_phrases_english_-1_16_3	phrases	english	16	3	0.2528	769.4533	1626	105979	331	75.69928571428571	69229
20250821_193906_phrases_english_-1_16_4	phrases	english	16	4	0.2599	794.3111	1601	106384	306	75.98857142857143	69176
20250821_194014_phrases_english_-1_16_5	phrases	english	16	5	0.2598	866.7333	1561	107293	266	76.63785714285714	69150
20250821_194123_phrases_english_-1_16_6	phrases	english	16	6	0.2687	954.0933	1510	108396	215	77.42571428571429	69226
20250821_194231_phrases_english_-1_16_7	phrases	english	16	7	0.2794	1051.0711	1444	110382	149	78.84428571428572	69303
20250821_194338_phrases_english_-1_16_8	phrases	english	16	8	0.2889	1196.1689	1376	114387	81	81.705	69972
20250821_194444_phrases_english_-1_16_9	phrases	english	16	9	0.2921	1254.3822	1338	116428	43	83.16285714285715	70454
20250821_194552_phrases_english_-1_16_10	phrases	english	16	10	0.2937	1273.9022	1315	117488	20	83.92	70823
20250821_194658_phrases_english_-1_16_11	phrases	english	16	11	0.2964	1275.8978	1303	117767	8	84.11928571428571	70932
