RUN_ID	MODE	STOPWORDS	MIN_FREQ	MIN_PMI	MAP	POSTINGS_COST	DICT_SIZE	TERMS_SIZE	NGRAMS	AVGDL	SUMDF
20250821_164113_phrases_english_-1_4_1	phrases	english	4	1	0.2080	661.1667	5376	108073	2423	77.195	77458
20250821_164221_phrases_english_-1_4_2	phrases	english	4	2	0.2080	666.5000	5305	108193	2352	77.28071428571428	77205
20250821_164328_phrases_english_-1_4_3	phrases	english	4	3	0.2125	706.3889	5184	108612	2231	77.58	77121
20250821_164440_phrases_english_-1_4_4	phrases	english	4	4	0.2123	737.5556	4969	109698	2015	78.35571428571428	77107
20250821_164552_phrases_english_-1_4_5	phrases	english	4	5	0.2190	800.6944	4654	111616	1700	79.72571428571429	77189
20250821_164704_phrases_english_-1_4_6	phrases	english	4	6	0.2254	908.3611	4250	114239	1297	81.59928571428571	77437
20250821_164812_phrases_english_-1_4_7	phrases	english	4	7	0.2471	998.1389	3904	117509	950	83.935	77710
20250821_164920_phrases_english_-1_4_8	phrases	english	4	8	0.2883	1115.6111	3584	122735	630	87.66785714285714	78610
20250821_165029_phrases_english_-1_4_9	phrases	english	4	9	0.3028	1289.2500	3346	125792	390	89.85142857142857	79288
20250821_165136_phrases_english_-1_4_10	phrases	english	4	10	0.3066	1327.0556	3205	127524	245	91.08857142857143	79810
20250821_165242_phrases_english_-1_4_11	phrases	english	4	11	0.3230	1339.5000	3106	128280	141	91.62857142857143	80077
20250821_165349_phrases_english_-1_4_12	phrases	english	4	12	0.3383	1345.6389	3044	128816	74	92.01142857142857	80251
20250821_165453_phrases_english_-1_4_13	phrases	english	4	13	0.3413	1347.0556	3006	129079	34	92.19928571428571	80351
20250821_165558_phrases_english_-1_4_14	phrases	english	4	14	0.3321	1347.4167	2989	129185	14	92.275	80400
20250821_165701_phrases_english_-1_4_15	phrases	english	4	15	0.3324	1347.4167	2981	129248	2	92.32	80420
20250821_165805_phrases_english_-1_4_16	phrases	english	4	16	0.3324	1347.4167	2980	129255	0	92.325	80420
20250821_165906_phrases_english_-1_4_17	phrases	english	4	17	0.3324	1347.4167	2980	129255	0	92.325	80420
20250821_170006_phrases_english_-1_4_24	phrases	english	4	24	0.3324	1347.4167	2980	129255	0	92.325	80420
20250821_170109_phrases_english_-1_4_48	phrases	english	4	48	0.3324	1347.4167	2980	129255	0	92.325	80420
20250821_170210_phrases_english_-1_5_0	phrases	english	5	0	0.2210	615.1944	4365	108248	1765	77.32	76546
20250821_170321_phrases_english_-1_5_1	phrases	english	5	1	0.2209	638.0000	4352	108267	1752	77.33357142857143	76440
20250821_170431_phrases_english_-1_5_2	phrases	english	5	2	0.2212	642.3889	4304	108355	1704	77.39642857142857	76213
20250821_170537_phrases_english_-1_5_3	phrases	english	5	3	0.2261	679.9444	4228	108681	1628	77.62928571428571	76144
20250821_170644_phrases_english_-1_5_4	phrases	english	5	4	0.2256	703.3333	4068	109670	1468	78.33571428571429	76123
20250821_170757_phrases_english_-1_5_5	phrases	english	5	5	0.2361	758.0833	3835	111400	1235	79.57142857142857	76183
20250821_170908_phrases_english_-1_5_6	phrases	english	5	6	0.2452	859.3333	3536	113742	936	81.24428571428571	76390
20250821_171021_phrases_english_-1_5_7	phrases	english	5	7	0.2671	947.3056	3280	116753	680	83.395	76603
20250821_171130_phrases_english_-1_5_8	phrases	english	5	8	0.2995	1060.2222	3035	121771	435	86.97928571428571	77476
20250821_171244_phrases_english_-1_5_9	phrases	english	5	9	0.3076	1227.8889	2870	124598	270	88.99857142857142	78102
20250821_171401_phrases_english_-1_5_10	phrases	english	5	10	0.3105	1268.4722	2768	126202	166	90.14428571428572	78608
20250821_171511_phrases_english_-1_5_11	phrases	english	5	11	0.3233	1280.7778	2702	126846	97	90.60428571428571	78836
20250821_171623_phrases_english_-1_5_12	phrases	english	5	12	0.3354	1285.9722	2656	127310	49	90.93571428571428	79002
20250821_171734_phrases_english_-1_5_13	phrases	english	5	13	0.3393	1286.6667	2632	127516	23	91.08285714285714	79084
20250821_171844_phrases_english_-1_5_14	phrases	english	5	14	0.3301	1287.0000	2621	127595	10	91.13928571428572	79117
