RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF,p_value_map,p_value_cip,p_MAP <0.05,p_CiP < 0.05
20250821_160725_phrases_english_-1_1_13,phrases,english,1,13,0.2772,1521.7411,6885,137827,779,98.4478571428572,86301,0.518958003189652,2.22044604925031E-016,FALSE,TRUE
20250821_160840_phrases_english_-1_1_14,phrases,english,1,14,0.2759,1522.4375,6714,138289,451,98.7778571428571,86539,0.760791642561344,0.0000152587890625,FALSE,TRUE
20250821_160959_phrases_english_-1_1_15,phrases,english,1,15,0.2753,1522.5357,6627,138579,258,98.985,86697,1,0.0078125,FALSE,TRUE
20250821_161116_phrases_english_-1_1_16,phrases,english,1,16,0.275,1522.6429,6593,138733,129,99.095,86796,0.503444671630859,0.5,FALSE,FALSE
20250821_161232_phrases_english_-1_1_17,phrases,english,1,17,0.275,1522.6607,6598,138829,44,99.1635714285714,86872,1,,FALSE,TRUE
20250821_161344_phrases_english_-1_1_24,phrases,english,1,24,0.275,1522.6607,6639,138873,0,99.195,86916,,,TRUE,TRUE
20250821_161455_phrases_english_-1_1_48,phrases,english,1,48,0.275,1522.6607,6639,138873,0,99.195,86916,,,TRUE,TRUE
20250821_161601_phrases_english_-1_2_0,phrases,english,2,0,0.1839,443.1339,10740,105739,6586,75.5278571428571,79664,0.000000061413029347732,4.35260167431515E-032,TRUE,TRUE
20250821_161715_phrases_english_-1_2_1,phrases,english,2,1,0.1852,465.5089,10666,105816,6512,75.5828571428571,79489,0.0000000290809674130093,4.35260167431515E-032,TRUE,TRUE
20250821_161827_phrases_english_-1_2_2,phrases,english,2,2,0.184,489.9911,10427,106096,6273,75.7828571428571,79150,0.00000000857770862513633,4.35260167431515E-032,TRUE,TRUE
20250821_161940_phrases_english_-1_2_3,phrases,english,2,3,0.1867,529.3571,10036,106808,5881,76.2914285714286,79059,0.0000000188293380190728,4.35260167431515E-032,TRUE,TRUE
20250821_162106_phrases_english_-1_2_4,phrases,english,2,4,0.1923,608.5804,9433,108408,5271,77.4342857142857,79099,0.0000000188293380190728,4.35260167431515E-032,TRUE,TRUE
20250821_162231_phrases_english_-1_2_5,phrases,english,2,5,0.1896,732.7321,8641,111018,4475,79.2985714285714,79410,0.0000000188293380190728,4.35260167431515E-032,TRUE,TRUE
20250821_162353_phrases_english_-1_2_6,phrases,english,2,6,0.2087,877.6696,7697,114500,3528,81.7857142857143,79898,0.0000229545129168172,4.35260167431515E-032,TRUE,TRUE
20250821_162515_phrases_english_-1_2_7,phrases,english,2,7,0.2273,993.625,6857,118615,2684,84.725,80372,0.000445302448062656,4.35260167431515E-032,TRUE,TRUE
20250821_162628_phrases_english_-1_2_8,phrases,english,2,8,0.2458,1171.1518,6083,124639,1908,89.0278571428571,81508,0.00779961618488937,5.41566804944486E-026,TRUE,TRUE
20250821_162739_phrases_english_-1_2_9,phrases,english,2,9,0.2569,1250.3125,5438,128486,1240,91.7757142857143,82376,0.0756191075862578,6.15627306592767E-018,FALSE,TRUE
20250821_162849_phrases_english_-1_2_10,phrases,english,2,10,0.2667,1281.3125,5049,130739,821,93.385,82993,1,0.00082145253889575,FALSE,TRUE
20250821_163000_phrases_english_-1_2_11,phrases,english,2,11,0.2727,1287.7411,4732,131933,492,94.2378571428571,83368,1,0.630633834530832,FALSE,FALSE
20250821_163112_phrases_english_-1_2_12,phrases,english,2,12,0.2793,1289.8036,4564,132722,294,94.8014285714286,83603,0.835846134631486,0.504684807587991,FALSE,FALSE
20250821_163223_phrases_english_-1_2_13,phrases,english,2,13,0.2817,1290.5446,4440,133189,151,95.135,83759,0.915186504842876,0.101432735041105,FALSE,FALSE
20250821_163332_phrases_english_-1_2_14,phrases,english,2,14,0.2797,1290.9554,4390,133396,83,95.2828571428571,83832,0.445204669046576,0.0264235202771477,FALSE,TRUE
20250821_163440_phrases_english_-1_2_15,phrases,english,2,15,0.2793,1291,4356,133545,34,95.3892857142857,83881,0.515425731883902,0.0264235202771477,FALSE,TRUE
20250821_163545_phrases_english_-1_2_16,phrases,english,2,16,0.2793,1291,4347,133593,12,95.4235714285714,83902,0.515425731883902,0.0264235202771477,FALSE,TRUE
20250821_163650_phrases_english_-1_2_17,phrases,english,2,17,0.2793,1291,4349,133616,0,95.44,83913,0.590035611148557,0.0264235202771477,FALSE,TRUE
20250821_163755_phrases_english_-1_2_24,phrases,english,2,24,0.2793,1291,4349,133616,0,95.44,83913,0.590035611148557,0.0264235202771477,FALSE,TRUE
20250821_163900_phrases_english_-1_2_48,phrases,english,2,48,0.2793,1291,4349,133616,0,95.44,83913,0.590035611148557,0.0264235202771477,FALSE,TRUE
20250821_164005_phrases_english_-1_4_0,phrases,english,4,0,0.1887,497.0982,5392,108052,2439,77.18,77560,0.0000000000990317344645026,4.35260167431515E-032,TRUE,TRUE
20250821_164113_phrases_english_-1_4_1,phrases,english,4,1,0.1908,512.2946,5376,108073,2423,77.195,77458,0.000000000398824386580155,4.35260167431515E-032,TRUE,TRUE
20250821_164221_phrases_english_-1_4_2,phrases,english,4,2,0.191,528.2411,5305,108193,2352,77.2807142857143,77205,0.0000000000990317344645026,4.35260167431515E-032,TRUE,TRUE
20250821_164328_phrases_english_-1_4_3,phrases,english,4,3,0.1927,552.6696,5184,108612,2231,77.58,77121,0.000000000398824386580155,4.35260167431515E-032,TRUE,TRUE
