RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF
20250821_154658_phrases_english_-1_1_1,phrases,english,1,1,0.1629,647.7733,21685,102526,16746,73.2328571428571,77793
20250821_154907_phrases_english_-1_1_2,phrases,english,1,2,0.1688,679.1822,21052,103046,16109,73.6042857142857,77506
20250821_155115_phrases_english_-1_1_3,phrases,english,1,3,0.1669,720.2044,20102,104132,15148,74.38,77606
20250821_155322_phrases_english_-1_1_4,phrases,english,1,4,0.1778,785.1689,18662,106284,13680,75.9171428571429,77921
20250821_155521_phrases_english_-1_1_5,phrases,english,1,5,0.1905,898.9511,16899,109637,11883,78.3121428571429,78641
20250821_155649_phrases_english_-1_1_6,phrases,english,1,6,0.2069,1043.4444,14860,114007,9804,81.4335714285714,79598
20250821_155840_phrases_english_-1_1_7,phrases,english,1,7,0.2339,1188.92,12928,119090,7820,85.0642857142857,80545
20250821_160021_phrases_english_-1_1_8,phrases,english,1,8,0.2568,1361.3689,11156,126009,5981,90.0064285714286,82155
20250821_160158_phrases_english_-1_1_9,phrases,english,1,9,0.2719,1437.9778,9605,130791,4290,93.4221428571429,83560
20250821_160317_phrases_english_-1_1_10,phrases,english,1,10,0.282,1467.1689,8539,133875,2996,95.625,84619
20250821_160446_phrases_english_-1_1_11,phrases,english,1,11,0.2849,1475.1244,7730,135702,2010,96.93,85361
20250821_160604_phrases_english_-1_1_12,phrases,english,1,12,0.289,1478.2444,7220,136986,1305,97.8471428571429,85910
20250821_160725_phrases_english_-1_1_13,phrases,english,1,13,0.2919,1472.1511,6885,137827,779,98.4478571428572,86301
20250821_160840_phrases_english_-1_1_14,phrases,english,1,14,0.2911,1472.6711,6714,138289,451,98.7778571428571,86539
20250821_160959_phrases_english_-1_1_15,phrases,english,1,15,0.2907,1472.7422,6627,138579,258,98.985,86697
20250821_161116_phrases_english_-1_1_16,phrases,english,1,16,0.2906,1472.8756,6593,138733,129,99.095,86796
20250821_161232_phrases_english_-1_1_17,phrases,english,1,17,0.2906,1472.9111,6598,138829,44,99.1635714285714,86872
20250821_161344_phrases_english_-1_1_24,phrases,english,1,24,0.2906,1472.92,6639,138873,0,99.195,86916
20250821_161455_phrases_english_-1_1_48,phrases,english,1,48,0.2906,1472.92,6639,138873,0,99.195,86916
20250821_161601_phrases_english_-1_2_0,phrases,english,2,0,0.1763,481.4044,10740,105739,6586,75.5278571428571,79664
20250821_161715_phrases_english_-1_2_1,phrases,english,2,1,0.1772,505.9111,10666,105816,6512,75.5828571428571,79489
20250821_161827_phrases_english_-1_2_2,phrases,english,2,2,0.1794,532.6844,10427,106096,6273,75.7828571428571,79150
20250821_161940_phrases_english_-1_2_3,phrases,english,2,3,0.181,568.56,10036,106808,5881,76.2914285714286,79059
20250821_162106_phrases_english_-1_2_4,phrases,english,2,4,0.1938,622.4844,9433,108408,5271,77.4342857142857,79099
20250821_162231_phrases_english_-1_2_5,phrases,english,2,5,0.1992,731.1289,8641,111018,4475,79.2985714285714,79410
20250821_162353_phrases_english_-1_2_6,phrases,english,2,6,0.2151,867.9867,7697,114500,3528,81.7857142857143,79898
20250821_162515_phrases_english_-1_2_7,phrases,english,2,7,0.2441,1007.2267,6857,118615,2684,84.725,80372
20250821_162628_phrases_english_-1_2_8,phrases,english,2,8,0.2627,1173.8622,6083,124639,1908,89.0278571428571,81508
20250821_162739_phrases_english_-1_2_9,phrases,english,2,9,0.2718,1245.7244,5438,128486,1240,91.7757142857143,82376
20250821_162849_phrases_english_-1_2_10,phrases,english,2,10,0.2806,1271.9556,5049,130739,821,93.385,82993
20250821_163000_phrases_english_-1_2_11,phrases,english,2,11,0.2852,1277.9422,4732,131933,492,94.2378571428571,83368
20250821_163112_phrases_english_-1_2_12,phrases,english,2,12,0.2915,1279.8844,4564,132722,294,94.8014285714286,83603
20250821_163223_phrases_english_-1_2_13,phrases,english,2,13,0.2941,1280.1644,4440,133189,151,95.135,83759
20250821_163332_phrases_english_-1_2_14,phrases,english,2,14,0.2931,1280.4222,4390,133396,83,95.2828571428571,83832
20250821_163440_phrases_english_-1_2_15,phrases,english,2,15,0.2932,1280.4444,4356,133545,34,95.3892857142857,83881
20250821_163545_phrases_english_-1_2_16,phrases,english,2,16,0.2932,1280.4533,4347,133593,12,95.4235714285714,83902
20250821_163650_phrases_english_-1_2_17,phrases,english,2,17,0.2932,1280.4533,4349,133616,0,95.44,83913
20250821_163755_phrases_english_-1_2_24,phrases,english,2,24,0.2932,1280.4533,4349,133616,0,95.44,83913
20250821_163900_phrases_english_-1_2_48,phrases,english,2,48,0.2932,1280.4533,4349,133616,0,95.44,83913
20250821_164005_phrases_english_-1_4_0,phrases,english,4,0,0.1926,532.7511,5392,108052,2439,77.18,77560
20250821_164113_phrases_english_-1_4_1,phrases,english,4,1,0.1954,549.7644,5376,108073,2423,77.195,77458
20250821_164221_phrases_english_-1_4_2,phrases,english,4,2,0.1955,566.24,5305,108193,2352,77.2807142857143,77205
20250821_164328_phrases_english_-1_4_3,phrases,english,4,3,0.199,594.6533,5184,108612,2231,77.58,77121
20250821_164440_phrases_english_-1_4_4,phrases,english,4,4,0.2077,634.6889,4969,109698,2015,78.3557142857143,77107
20250821_164552_phrases_english_-1_4_5,phrases,english,4,5,0.2083,729.8622,4654,111616,1700,79.7257142857143,77189
